,precision,recall,f1-score,support,,,max_length,epoch,batch_size,lr
1,0.9985835292784498,0.9882250693879839,0.9933772968098298,142676,,,35,5,63,5e-5
2,0.9572234614879938,0.9956325917838132,0.976050307733476,7327,,,,,,
3,0.9546883184913567,0.9949501842500341,0.9744035287041368,7327,,,,,,
4,0.971307120085016,0.989713048186248,0.9804237060874229,1847,,,,,,
5,0.8132045088566827,0.9066427289048474,0.8573853989813243,557,,,,,,
6,0.9550907413103661,0.9730492008774678,0.9639863396460726,3191,,,,,,
7,0.978328173374613,0.9801488833746899,0.9792376820576387,1612,,,,,,
8,0.9783549783549783,0.9813895781637717,0.9798699287705172,1612,,,,,,
9,0.9583544946673438,0.972680412371134,0.965464313123561,1940,,,,,,
10,0.7506361323155216,0.8912386706948641,0.8149171270718232,331,,,,,,
11,0.7767857142857143,0.7435897435897436,0.759825327510917,117,,,,,,
12,0.80306905370844,0.9486404833836858,0.8698060941828255,331,,,,,,
13,0.879136690647482,0.9078751857355126,0.8932748538011696,673,,,,,,
14,0.7450199203187251,0.7391304347826086,0.7420634920634921,253,,,,,,
15,0.8075117370892019,0.9690140845070423,0.8809218950064021,1065,,,,,,
16,0.9005847953216374,0.9850746268656716,0.9409368635437881,469,,,,,,
17,0.7849624060150376,0.9802816901408451,0.8718162839248434,1065,,,,,,
18,0.84,0.8888888888888888,0.8637532133676092,189,,,,,,
19,0.776255707762557,0.8994708994708994,0.8333333333333334,189,,,,,,
20,0.9393939393939394,0.775,0.8493150684931506,40,,,,,,
21,0.9393939393939394,0.775,0.8493150684931506,40,,,,,,
22,0.9322033898305084,0.9649122807017544,0.9482758620689655,57,,,,,,
23,0.9545454545454546,1,0.9767441860465116,21,,,,,,
24,1,0.3,0.46153846153846156,10,,,,,,
25,0,0,0,1,,,,,,
accuracy,0.9863478663120158,0.9863478663120158,0.9863478663120158,0.9863478663120158,,,,,,
macro avg,0.8557853682613983,0.8620219474424602,0.8490414252944168,172940,,,,,,
weighted avg,0.9873828461554481,0.9863478663120158,0.9866366439007945,172940,,,,,,
